Expected_Confidence,EDL_Observed_Confidence_Train,EDL_Observed_Confidence_Test,EDL_Observed_Confidence_OOD_EXP,EDL Observed_Confidence OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.005610859728506787,0.002894356005788712,0.004166666666666667,0.0017667844522968198
0.02,0.009954751131221719,0.002894356005788712,0.004166666666666667,0.00530035335689046
0.03,0.01411764705882353,0.002894356005788712,0.004166666666666667,0.0088339222614841
0.04,0.01918552036199095,0.004341534008683068,0.004166666666666667,0.0088339222614841
0.05,0.022986425339366515,0.008683068017366137,0.004166666666666667,0.0088339222614841
0.06,0.029502262443438915,0.011577424023154847,0.008333333333333333,0.01060070671378092
0.07,0.03547511312217195,0.011577424023154847,0.008333333333333333,0.012367491166077738
0.08,0.04,0.013024602026049204,0.008333333333333333,0.014134275618374558
0.09,0.0448868778280543,0.017366136034732273,0.008333333333333333,0.0176678445229682
0.1,0.052307692307692305,0.01881331403762663,0.008333333333333333,0.0176678445229682
0.11,0.058642533936651586,0.01881331403762663,0.008333333333333333,0.0176678445229682
0.12,0.06552036199095022,0.01881331403762663,0.008333333333333333,0.0176678445229682
0.13,0.07113122171945702,0.02170767004341534,0.008333333333333333,0.019434628975265017
0.14,0.07873303167420814,0.023154848046309694,0.008333333333333333,0.02120141342756184
0.15,0.08343891402714933,0.02894356005788712,0.0125,0.02120141342756184
0.16,0.0890497737556561,0.03183791606367583,0.0125,0.022968197879858657
0.17,0.09502262443438914,0.03183791606367583,0.0125,0.022968197879858657
0.18,0.10027149321266968,0.0361794500723589,0.0125,0.022968197879858657
0.19,0.1053393665158371,0.03907380607814761,0.016666666666666666,0.024734982332155476
0.2,0.1118552036199095,0.03907380607814761,0.020833333333333332,0.024734982332155476
0.21,0.11873303167420815,0.041968162083936326,0.025,0.026501766784452298
0.22,0.12416289592760181,0.04341534008683068,0.025,0.026501766784452298
0.23,0.12941176470588237,0.04486251808972504,0.025,0.026501766784452298
0.24,0.13429864253393664,0.04630969609261939,0.025,0.026501766784452298
0.25,0.14045248868778282,0.049204052098408106,0.03333333333333333,0.026501766784452298
0.26,0.14678733031674207,0.05065123010130246,0.03333333333333333,0.028268551236749116
0.27,0.15402714932126696,0.05209840810419682,0.0375,0.028268551236749116
0.28,0.16054298642533937,0.053545586107091175,0.0375,0.028268551236749116
0.29,0.167420814479638,0.05499276410998553,0.0375,0.030035335689045935
0.3,0.17031674208144795,0.05788712011577424,0.0375,0.030035335689045935
0.31,0.17647058823529413,0.05788712011577424,0.041666666666666664,0.03180212014134275
0.32,0.18371040723981902,0.06512301013024602,0.041666666666666664,0.03180212014134275
0.33,0.18769230769230769,0.06657018813314038,0.041666666666666664,0.03180212014134275
0.34,0.19239819004524886,0.06801736613603473,0.041666666666666664,0.0353356890459364
0.35000000000000003,0.19728506787330316,0.0723589001447178,0.041666666666666664,0.037102473498233215
0.36,0.2041628959276018,0.07525325615050651,0.04583333333333333,0.037102473498233215
0.37,0.21031674208144796,0.07525325615050651,0.05,0.038869257950530034
0.38,0.21755656108597285,0.07814761215629522,0.05416666666666667,0.04240282685512368
0.39,0.22407239819004524,0.0824891461649783,0.058333333333333334,0.04240282685512368
0.4,0.22986425339366515,0.0824891461649783,0.058333333333333334,0.04240282685512368
0.41000000000000003,0.2351131221719457,0.08393632416787265,0.058333333333333334,0.04240282685512368
0.42,0.23927601809954752,0.08827785817655572,0.058333333333333334,0.04240282685512368
0.43,0.2439819004524887,0.09261939218523878,0.058333333333333334,0.044169611307420496
0.44,0.2490497737556561,0.09261939218523878,0.058333333333333334,0.044169611307420496
0.45,0.2555656108597285,0.09696092619392185,0.058333333333333334,0.045936395759717315
0.46,0.2629864253393665,0.10130246020260492,0.058333333333333334,0.04946996466431095
0.47000000000000003,0.26986425339366515,0.10564399421128799,0.058333333333333334,0.04946996466431095
0.48,0.27547511312217193,0.10709117221418235,0.058333333333333334,0.04946996466431095
0.49,0.2819909502262443,0.10998552821997105,0.058333333333333334,0.054770318021201414
0.5,0.2881447963800905,0.11287988422575977,0.0625,0.054770318021201414
0.51,0.29447963800904975,0.11432706222865413,0.0625,0.054770318021201414
0.52,0.3009954751131222,0.11722141823444283,0.0625,0.054770318021201414
0.53,0.30877828054298645,0.11722141823444283,0.0625,0.054770318021201414
0.54,0.3163800904977376,0.11866859623733719,0.0625,0.05653710247349823
0.55,0.32289592760180996,0.12156295224312591,0.0625,0.05653710247349823
0.56,0.3295927601809955,0.12301013024602026,0.0625,0.06007067137809187
0.5700000000000001,0.33647058823529413,0.12590448625180897,0.0625,0.06007067137809187
0.58,0.3433484162895928,0.13024602026049203,0.06666666666666667,0.06007067137809187
0.59,0.3500452488687783,0.13024602026049203,0.07083333333333333,0.06007067137809187
0.6,0.35710407239819003,0.1316931982633864,0.075,0.06007067137809187
0.61,0.36343891402714934,0.13603473227206947,0.075,0.06007067137809187
0.62,0.3697737556561086,0.1389290882778582,0.075,0.06007067137809187
0.63,0.376289592760181,0.1447178002894356,0.075,0.06007067137809187
0.64,0.38280542986425337,0.1476121562952243,0.075,0.06007067137809187
0.65,0.3900452488687783,0.15050651230101303,0.075,0.06007067137809187
0.66,0.398552036199095,0.15340086830680175,0.07916666666666666,0.06007067137809187
0.67,0.4048868778280543,0.15340086830680175,0.08333333333333333,0.06007067137809187
0.68,0.4121266968325792,0.15918958031837915,0.08333333333333333,0.06007067137809187
0.6900000000000001,0.41936651583710405,0.15918958031837915,0.08333333333333333,0.06007067137809187
0.7000000000000001,0.4258823529411765,0.16208393632416787,0.08333333333333333,0.06007067137809187
0.71,0.4329411764705882,0.1649782923299566,0.08333333333333333,0.06007067137809187
0.72,0.43945701357466066,0.1678726483357453,0.09583333333333334,0.061837455830388695
0.73,0.44687782805429865,0.17221418234442837,0.1,0.0636042402826855
0.74,0.4535746606334842,0.17510853835021709,0.10416666666666667,0.0636042402826855
0.75,0.4633484162895928,0.17800289435600578,0.10833333333333334,0.0636042402826855
0.76,0.4713122171945701,0.1837916063675832,0.1125,0.06713780918727916
0.77,0.47855203619909503,0.18523878437047755,0.1125,0.07420494699646643
0.78,0.485972850678733,0.18668596237337193,0.11666666666666667,0.07597173144876325
0.79,0.4939366515837104,0.18958031837916064,0.125,0.07773851590106007
0.8,0.5019004524886878,0.19247467438494936,0.13333333333333333,0.07950530035335689
0.81,0.5129411764705882,0.19971056439942114,0.1375,0.0812720848056537
0.8200000000000001,0.5238009049773755,0.20260492040520983,0.14583333333333334,0.08480565371024736
0.8300000000000001,0.5342986425339367,0.20694645441389292,0.14583333333333334,0.08657243816254417
0.84,0.5431674208144797,0.21562952243125905,0.15,0.08833922261484099
0.85,0.5516742081447964,0.2199710564399421,0.15416666666666667,0.09010600706713781
0.86,0.5605429864253394,0.22575976845151954,0.15416666666666667,0.09187279151943463
0.87,0.5715837104072398,0.22865412445730826,0.15833333333333333,0.09363957597173145
0.88,0.5824434389140272,0.23589001447178004,0.17083333333333334,0.09540636042402827
0.89,0.5961990950226245,0.24312590448625182,0.17083333333333334,0.0989399293286219
0.9,0.6083257918552036,0.2460202604920405,0.17083333333333334,0.10070671378091872
0.91,0.6202714932126697,0.24746743849493488,0.17916666666666667,0.10424028268551237
0.92,0.632579185520362,0.2575976845151954,0.18333333333333332,0.10600706713780919
0.93,0.6441628959276018,0.2662807525325615,0.1875,0.11130742049469965
0.9400000000000001,0.6568325791855204,0.27496382054992763,0.19583333333333333,0.12014134275618374
0.9500000000000001,0.6734841628959276,0.2865412445730825,0.19583333333333333,0.127208480565371
0.96,0.6906787330316743,0.3024602026049204,0.2,0.13250883392226148
0.97,0.7118552036199095,0.32127351664254705,0.20416666666666666,0.13427561837455831
0.98,0.737737556561086,0.3342981186685962,0.23333333333333334,0.14664310954063603
0.99,0.7715837104072398,0.3661360347322721,0.2708333333333333,0.16431095406360424
1.0,1.0,1.0,1.0,1.0
