Sparsification_fractions,GPR_rmse_values_Train,GPR_rmse_values_Test,GPR_rmse_values_OOD_EXP,GPR_rmse_values_OOD_MD
0.02,23.96969103967899,32.01207177289302,34.641053810304,68.91380221560497
0.04,24.15649655788905,31.71797952359882,34.94917525548341,68.76742295863386
0.06,24.329562680762265,31.745218896992224,35.2979303440012,68.00627407442418
0.08,24.5265123571273,31.831211195866125,35.55987098421911,67.78415524253694
0.1,24.715701774219124,31.92591299600763,35.13533365599927,67.63237450304304
0.12000000000000001,24.8800736341647,31.863192668014847,34.966327598310045,67.48485770905894
0.13999999999999999,24.991509506170054,32.010589029791134,34.96706137254666,67.7542201703018
0.16,25.189013535925774,32.111521474099725,34.997775615916225,68.12680952419976
0.18,25.358078813575183,32.04507339608376,34.55214894729436,68.32643272482139
0.19999999999999998,25.529787752058233,32.27874500363379,34.375216075023395,68.39074640525426
0.22,25.733243229291148,32.316523739274814,34.337436262679624,69.04318440914352
0.24,25.78861272691485,32.58221450689338,33.906536165174764,68.24738301045186
0.26,25.978111366265402,32.86806292238784,34.04936407455458,67.65491697414845
0.28,26.21505347917224,32.94417096237038,34.33490198943187,67.20508505025468
0.30000000000000004,26.41575919911421,33.157392413753534,33.54980403853181,66.6692310045929
0.32,26.66395511866801,33.1035509913055,33.74561218326611,66.88913515401934
0.34,26.90719207053512,33.32712635263265,33.1615035176216,66.82531059928051
0.36000000000000004,27.184362943827328,33.658480515830064,32.890327539590324,66.7563470865063
0.38,27.374060224205433,33.969194956117825,33.116447527145525,67.12964362309066
0.4,27.48979766251464,34.092002131268295,33.18528106525894,67.48179234102108
0.42000000000000004,27.462464890890434,34.092314609526696,32.65481639185544,67.80004741071149
0.44,27.765111015862427,34.399172104773754,32.63670008659196,67.37643707117647
0.46,28.013031267703127,34.35537823232217,32.738582956637195,66.8958590702412
0.48000000000000004,28.191543967037607,34.729901454649514,32.704939822440785,64.7995073958474
0.5,28.334217526216595,35.01939113741391,32.999663165364964,65.54288947262098
0.52,28.613528789872003,35.27915691351848,33.16353578252731,65.89190066741138
0.54,28.868051597983957,35.722862688212615,33.77704608186256,66.55305245023612
0.56,29.169986314401395,35.7259228032746,34.11323943080809,66.25736148957945
0.5800000000000001,29.411252401182313,36.34881208947991,34.84546096983831,67.73386141777583
0.6,29.7800364708826,36.29741328878759,35.444947206256764,67.8542983194639
0.62,30.089439178887044,36.73844118914967,36.01499840175941,66.7707530965081
0.64,30.465471454488934,36.85169298169526,36.65791401841013,67.47701198670316
0.66,30.56486393005413,37.236417377066196,37.541795320610646,64.7132084816228
0.68,30.853159507112487,37.92015136114403,37.9755276963576,64.200938081419
0.7000000000000001,30.813509104925853,38.39829115525045,38.966800681131986,64.3256256854358
0.7200000000000001,31.471714586769473,38.76236038671059,39.30879370452935,65.1253152239453
0.74,31.943379627368408,39.57846937375986,39.647595349674155,66.07852977434973
0.76,32.06084377481143,41.064617316041875,41.026712780166264,66.45656735823083
0.78,32.29073318874393,42.28797593609218,42.631038979946986,63.313309907700486
0.8,32.479156376312474,43.44764739535965,33.380290985687594,64.7963984563587
0.8200000000000001,32.91996842924519,44.775953410509906,34.55619247322957,64.34618016092628
0.8400000000000001,33.883211785934,46.95205307751585,36.2776976466207,63.56508704506094
0.86,35.32731730468374,47.92989401848408,38.42826230580761,62.83962677482846
0.88,36.33093862075321,43.88382522990481,38.927370485095516,60.191766219980174
0.9,37.89061075619563,44.156786241101635,36.37153041062021,53.26368021386621
0.92,38.98774900785827,46.68373438370325,26.869113788214523,53.48594758188075
0.9400000000000001,41.00055845585275,44.229633375439285,19.809611687959872,51.669828152603145
0.9600000000000001,44.28091876421364,48.97481371982263,17.29779315640633,46.61148670668668
0.98,53.57512232439453,56.34198387014261,17.444822524109007,46.09068311098405
